CKG_NM,CKG_MTRL_CN
Vietnamese Pho Soup,"닭육수, 우동, 닭가슴살, 액젓, 청경채, 타이 바질, 고수, 파, 아니스 씨, 고수 씨, 마늘 정향, 양파, 생강 뿌리"
Vietnamese Peanut Sauce,"크리미한 땅콩 버터, 라이트 코코넛 밀크, 호이신 소스, 라임 주스, 다진 땅콩, 황설탕, 칠리 페퍼 및 마늘 소스"
Vietnamese Chicken Meatballs,"다진 닭고기, 생선 소스, 양파, 마늘, 레몬그라스, 다진 고수, 민트, 옥수수 전분, 코셔 소금, 후추, 알갱이 설탕"
Quick Vietnamese Beef and Noodle Pho,"쇠고기 라운드, 계피 스틱, 정향, 회향 씨앗, 고수 씨앗, 통후추, 양파, 신선한 생강, 식물성 기름, 쇠고기 육수, 생선 소스, 소금, 간 후추, 쌀국수, 녹두 콩나물, 신선한 민트, 고수, 바질 , 할라피뇨 칠리, 프레즈노 칠리, 라임, 스리라차 핫소스"
Easy Vietnamese Spring Roll,"쌀국수, 샐러드 채소, 라이스페이퍼, 민트, 홍고추"
Vietnamese Restaurant-Style Grilled Lemongrass Pork (Thit Heo Nuong Xa),"돼지 목살 스테이크, 연갈색 설탕, 다진 마늘, 샬롯, 레몬그라스, 후추, 진간장, 액젓, 기름"
Vietnamese Lemongrass Chicken,"닭다리살, 액젓, 백설탕, 옥수수 가루, 레몬그라스 줄기, 식물성 기름, 마늘 정향, 신선한 홍고추, 양파"
Vietnamese Fresh Spring Rolls,"쌀국수, 쌀, 신선한 민트 잎, 다진 신선한 고수, 양상추, 당근 스틱, 간장, 파, 말린 표고버섯, 땅콩, 참깨"
Vietnamese Caramel Chicken,"닭 날개, 흑설탕, 액젓, 간 후추, 흑설탕, 물, 액젓, 쌀식초, 마늘 정향, 생강, 고추, 기름, 파"
Authentic Vietnamese Beef Pho (Pho Bo),"소고기, 소꼬리, 물, 노란 양파, 생생강, 스타아니스, 정향, 통후추, 마늘, 무, 계피 스틱, 쪽파, 쌀국수, 액젓, 소금, 쌀국수, 등심 스테이크, 노란 양파, 파, 스리라차 칠리 소스, 호이신 소스, 고수 잎, 라임, 녹두 콩나물, 타이 바질 잎, 들깨 잎, 고수 잎, 청고추"
Grilled Vietnamese Chicken,"마늘 정향, 샬롯, 신선한 생강, 코코넛 밀크, 쌀 식초, 아시아 생선 소스, 간장, 단단하게 포장된 흑설탕, 닭가슴살 반쪽, 소금, 옥수수 기름, 잉글리시 오이"
Vietnamese Eggrolls,"스프링롤 페이스트리 래퍼, 간 돼지고기, 살코기 간 칠면조, 채 썬 양배추, 채 썬 당근, 노란 양파, 콩, 설탕, 액젓, 후춧가루, 옥수수 전분, 마늘 가루, 계란"
Pho {Vietnamese Beef Noodle Soup},"고수 씨, 계피 스틱, 스타 아니스, 정향, 쇠고기 국물, 생강, 파, 액젓, 흑설탕, 할라피뇨 고추, 쌀국수, 옆구리 스테이크, 콩나물, 파, 신선한 바질, 신선한 고수, 라임 웨지, 스리라차, 호이신 소스"
Fresh and Easy Vietnamese Noodle Salad,"당면, 당근, 오이, 파, 콩나물, 다진 고수, 액젓, 양념초, 설탕, 마늘, 다진 고추, 라임"
Vietnamese Pho Recipe (Vietnamese Beef Noodle Soup),"양파, 생강, 소 정강이, 소 양지머리, 팔각, 정향, 계피 스틱, 회향 씨앗, 고수 씨앗, 소금, 액젓, 암설탕, 국수, 등심, 양파, 파, 고수풀, 간 후추, 스피어민트, 타이 바질 , 고수, 콩나물, 버드아이칠리, 라임, 피시소스, 라임, 호이신소스, 스리라차"
Vietnamese Spring Rolls,"새우, 마른 쌀국수, 라이스 페이퍼, 보스턴 양상추, 신선한 민트 잎, 신선한 고수, 파"
Vietnamese Pho,"고수씨, 정향, 팔각, 수제 닭육수, 닭가슴살, 양파, 생강, 설탕, 액젓, 말린 쌀국수, 콩나물, 신선한 고수, 적양파, 라임, 스리라차 칠리 소스, 호이신 소스, 칠리 페퍼, 건조 무화과, 물, 브랜디, 다크 초콜릿, 호두, 완탕 포장지, 물, 페이스트리, 기름"
Vietnamese Cucumber Salad,"오이, 할라피뇨, 파, 마늘 정향, 소금, 고수 잎, 민트 잎, 구운 땅콩, 기름, 라임 주스, 막걸리 양념 식초, 액젓, 설탕, 소금"
Vietnamese Pork Bowl,"돼지고기 목살, 마늘, 샬롯, 레몬그라스, 설탕, 액젓, 간장, 참기름, 쌀 당면, 피클, 녹색 잎상추, 타이 바질, 민트 가지, 실란트로 가지, 얇게 썬 파, 캐슈넛, 웨지 라임, 할라피뇨, 생선 소스"
Shrimp Pho - Vietnamese Noodle Soup,"쌀국수, 고수씨, 정향, 통후추, 참기름, 생강뿌리, 고춧가루, 저염닭육수, 레몬껍질, 간장, 액젓, 라임즙, 호이신소스, 계피, 청경채, 새우, 양파, 할라피뇨, 고수, 라임 웨지, 호이신 소스, 스리라차, 콩나물, 타이 바질"
Vietnamese Zoodle Pho,"단 양파, 신선한 생강 뿌리, 마늘 정향, 팔각, 정향, 애호박, 큰 당근, 저염 닭 육수, 고수 씨, 세라노 칠레, 피시 소스, 둥글게 익은 스테이크, 파, 콩나물, 타이 바질 잎, 신선한 민트 잎, 라임 웨지"
Vietnamese Caramelized Ground Pork,"유럽산 오이, 쌀식초, 소금, 설탕, 레몬그라스, 다진 돼지고기, 땅콩기름, 양파, 다진마늘, 설탕, 액젓, 간 후추, 민트, 바질, 고수, 땅콩, 스리라차, 라임, 밥"
Simple Vietnamese Pork Noodle Bowl,"돼지고기 안심, 쌀국수, 코울슬로 믹스, 적양파, 닭육수, 액젓, 간장, 카놀라유, 바질잎, 라임"
Sticky Vietnamese Air Fryer Pork Ribs,"베이비백 포크 립, 액젓, 설탕, 마늘, 마늘, 신선한 고수, 신선한 민트"
Vietnamese Shrimp and Vegetable Summer Rolls,"쌀 당면, 부드러운 땅콩 버터, 물, 간장, 스위트 칠리 소스, 쌀 식초, 큰 당근, 큰 오이, 라이스 페이퍼, 중간 새우, 민트 잎"
Pho Ga Vietnamese Chicken Noodle Soup,"노란 양파, 신선한 생강, 닭고기, 닭고기 부위, 육수, 닭, 물, 스타아니스, 카다멈 꼬투리, 정향, 고수 씨, 사이공 계피, 통 후추, 터비나도 설탕, 생선 소스, 바다 소금, 치즈, 쌀국수, 익힌 것 닭고기, 노란 양파, 샬롯, 파, 다진 신선한 고수, 콩나물, 민트, 타이 바질, 잎, 세라노 고추, 라임, Sriracha"
Traditional Vietnamese Chicken Pho (Pho Ga),"노란 양파, 생강, 고수 씨, 회향 씨, 닭고기, 무, 소금, 닭고기 국물, 말린 가리비, 국수, 파, 고수, 튀긴 샬롯, 액젓"
Bo Luc Lac (Vietnamese Shaking Beef),"소고기 등심, 다진마늘, 설탕, 굴소스, 액젓, 참기름, 간장, 쌀식초, 설탕, 소금, 라임, 코셔소금, 간후추, 적양파, 물냉이, 토마토, 식용유"
Vietnamese Chicken Salad with Rice Noodles,"세라노 고추, 마늘, 쌀식초, 황설탕, 액젓, 라임 주스, 식물성 기름, 순살, 껍질 없는 닭가슴살, 쌀국수, 큰 당근, 녹색 양배추, 고수 잎"
Vietnamese Spring Rolls with Slow-Cooked Pork,"돼지고기 등심 구이, 고수, 코셔 소금, 갓 갈은 후추, 오렌지 주스, 저염 닭육수, 액젓, 마늘, 생강, 노란 양파, 오렌지, 자두 소스, 생강, 액젓, 스프링롤 포장지, 당근 중간 크기, 영국식 오이, 빨간 피망, 아기 시금치, 민트 잎, 신선한 바질"
Vietnamese Chicken Vermicelli Salad,"닭가슴살, 설탕, 쪽파, 저염간장, 액젓, 올리브유, 미지근한 물, 액젓, 라임즙, 설탕, 막걸리식초, 타이칠리, 마늘 정향, 오이, 당근 채썰기, 당면, 상추 , 오이, 당근, 구운 땅콩, 실란트로, 민트 잎"
Vietnamese Healthy Spring Rolls With Peanut Butter Sauce,"스프링롤, 새우, 오이, 작은 당근, 메밀국수, 빙산 양상추, 고수, 신선한 민트 잎, 아보카도 오일, 간장, 라이스 페이퍼 랩, 소금, 땅콩 버터, 간장, 칠리 마늘 페이스트, 옥수수 전분, 물"
Pho (Vietnamese Noodle Soup),"흰 양파, 신선한 생강, 스타아니스, 정향, 계피 스틱, 카다멈 꼬투리, 통고수 씨, 쇠고기 육수, 흑설탕, 생선 소스, 바다소금, 스테이크, 쌀국수, 신선한 허브, 콩나물, 라임 웨지, 고추, 양파"
Vietnamese Coffee,"커피, 연유, 끓는 물"
Vietnamese Salad,"셀로판 국수, 카놀라유, 마늘, 신선한 홍고추, 닭가슴살, 빙산 양상추, 중간 당근, 적고추, 적양파, 신선한 민트 잎, 고수 잎, 베트남 디핑 소스, 기름"
Vegetable Vietnamese Spring Rolls,"큰 당근, 빨간 피망, 아보카도, 망고, 오이, 할라피뇨, 아루굴라, 신선한 바질, 신선한 민트, 스프링롤 포장지, 소금에 절인 로스트 아몬드, 코코넛 밀크, 라임 주스, 간장, 꿀, 마늘"
Easy Vietnamese Pho,"저염 닭육수, 익힌 닭고기, 콩나물, 당면, 이탈리안 바질, 고수, 호이신 소스, 스리라차, 웨지 라임"
Vietnamese Style Grilled Lemongrass Pork,"돼지고기 목살, 마늘, 샬롯, 레몬그라스, 진한 간장, 생선 소스, 기름, 갓 간 후추, 꿀"
Vietnamese Chicken Salad,"치킨, 양배추, 자색 양배추, 채 썬 당근, 민트, 바질, 다진 고수, 파, 액젓, 라임, 물, 아보카도 오일, 사과식초, 감미료"
Vietnamese Chicken,"닭다리살, 라임, 간장, 생선 소스, 칠리 마늘 소스, 다진 마늘, 고수, 레몬그라스, 종려당, 식용유"
Vietnamese Baguette,"활성 건조 효모, 따뜻한 물, 표백하지 않은 다목적 밀가루, 소금, 설탕"
Vietnamese Coffee Mousse,"따뜻한 물, 인스턴트 에스프레소 가루, 무가미 젤라틴, 가당 연유, 바닐라 추출물, 생크림"
Vietnamese Caramelized Shrimp,"액젓, 흑설탕, 으깬 고춧가루, 물, 식물성 기름, 노란 양파, 마늘, 특대 새우, 파, 다진 생고수"
Vegetarian Vietnamese Pancakes,"쌀가루, 계란, 소금, 심황, 코코넛 밀크, 식물성 기름, 라임 주스, 구운 참기름, 황설탕, 막걸리 식초, 단 간장, 신선한 생강, 태국 칠레, 소금, 큰 당근, 무, 파, 태국 칠레, 완두콩, 태국 바질 잎, 민트 잎, 콩나물, 팽이버섯"
Vietnamese Dipping Sauce,"마늘, 칠리 페이스트, 액젓, 뜨거운 물, 신선한 라임 주스, 유기농 설탕, 잘게 썬 당근"
Vietnamese Steak Salad,"라임즙, 참기름, 액젓, 고수, 붉은 고추, 마늘, 레몬그라스, 베르미첼리 쌀국수, 등심 스테이크, 식용유, 소금, 샐러드용 잎, 오이, 중간 당근, 파, 붉은 고추, 라임 조각"
Vietnamese Bowl,"다진 돼지고기, 빵가루, 큰 달걀, 다진 신선한 고수, 다진 마늘, 생강, 코셔 소금, 간 후추, 무염 버터, 바스마티 쌀, 물, 치킨 베이스, 소금, 후추, 사과 사이다 식초, 간장, 황설탕, 칠레 고추, 생강, 코셔 소금, 야채 슬로, 할라피뇨, 다진 고수, 계란"
Vietnamese Rolls,"바게트, 돼지고기, 대파, 오이, 당근장아찌, 무, 고수, 민트잎, 홍고추, 마요네즈, 쪽파, 레몬즙"
Vietnamese Meatballs,"갈은 돼지고기, 다진 고수, 마늘, 생선 소스, 스리라차, 레몬그라스, 신선한 생강, 레몬 제스트, 레몬, 스테이크, 버터, 디종 머스타드, 우스터셔 소스, 헤비 크림, 레몬 주스, 버섯"
Vietnamese Grilled Chicken Vermicelli Bowl,"마늘, 샬롯, 파, 레몬그라스, 고수, 황설탕, 꿀, 액젓, 간장, 닭가슴살, 당근, 오이, 쌀식초, 설탕, 소금, 라임, 액젓, 설탕, 따뜻한 물, 고추장, 식물성 기름 , scallions, 당면, 녹색 잎 양상추, 고수, 콩나물, 구운 땅콩"
Classic Vietnamese Dipping Sauce,"라임 주스, 설탕, 생선 소스, 태국 고추, 마늘"
Vietnamese Beef Pho,"소고기 살코기, 양파, 저염우육수, 액젓, 생강, 시나몬 스틱, 설탕, 스타아니스, 정향, 소금, 통후추, 순살 스테이크, 넓은 쌀국수, 다진 고수, 파, 콩나물, 이탈리안 바질 , 라임 웨지, 호이신 소스, 스리라차 소스"
Grilled Vietnamese Pork Chops,"돼지등심, 레몬그라스, 마늘, 황설탕, 굴소스, 액젓, 진간장, 파, 후추, 기름, 미나리"
Vietnamese Bo Luc Lac,"소고기 등심, 다진마늘, 설탕, 굴소스, 액젓, 참기름, 간장, 쌀식초, 설탕, 소금, 라임, 코셔소금, 간후추, 적양파, 빙산, 토마토, 식용유"
Suon Nuong (Vietnamese Pork Chops),"설탕, 얇게 썬 샬롯, 레몬그라스, 땅콩 기름, 간장, 생선 소스, 간 후추, 마늘, 돼지고기, 흰 쌀밥, 누옥 참"
Grilled Vietnamese Shrimp Noodle Bowl,"쌀 당면, 물, 과립 설탕, 신선한 라임 주스, 쌀 식초, 생선 소스, 세라노 고추, 녹색 잎 상추, 오이 절임, 고수 잎, 타이 바질 잎, 민트 잎, 옥수수 전분, 흑설탕, 소금, 백 후추, 큰 새우, 카놀라유, 파, 마늘, 무염 건조 볶은 땅콩"
Vietnamese Spring Rolls (Cha Gio),"간 돼지고기, 새우, 게살, 채썬 당근, 녹두국수, 마늘, 샬롯, 간 후추, 액젓, 소금, 작은 계란, 베트남식 라이스 페이퍼"
Vietnamese Beef Pho’,"양파, 신선한 생강, 물, 쇠고기 양지머리, 마늘 정향, 설탕, 검은 후추 열매, 생선 소스, 스타 아니스, 전체 정향, 카 다몬 꼬투리, 계피 스틱, 회향 씨앗, 고수 씨앗, 바다 소금, 생선 소스, 쌀국수, 콩나물 , 흰 양파, 신선한 실란트로, 민트 잎, 타이 바질, 파, 타이 칠레, 라임"
Vietnamese Sunbathing Prawns,"새우, 프레즈노 칠리, 마늘, 그래뉴당, 코셔 소금, 카놀라유, 올리브유, 락사잎, 라임"
Pho Ga (Vietnamese Chicken Noodle Soup),"닭고기 육수, 노란 양파, 생강, 코셔 소금, 통후추, 고수 씨, 아니스 씨, 레몬그라스, 마늘 정향, 말린 쌀국수, 호이신 소스, 로티세리 치킨, 샬롯, 식물성 기름, 타이 칠레, 파, 실란트로 잎, 라임, 콩나물"
Vietnamese Spring Roll Sauce,"액젓, 쌀식초, 물, 스플렌다 무칼로리 감미료, 마늘가루, 건고추"
Easy Vegan Vietnamese Pho Soup,"팔각, 정향, 계피 스틱, 올스파이스, 고수, 레몬그라스, 신선한 생강, 양파, 마늘, 마른 표고버섯, 된장, 간장, 야채 육수, 물, 쌀국수, 버섯, 청경채, 당근, 신선한 시금치, 완두콩, 파, 라임 조각, 핫 칠리 페퍼, 민트 잎, 타이 바질 잎, 실란트로, 갓 간 후추"
Vietnamese Watermelon Salad,"수박, 천일염, 쌀 식초, 신선한 바질, 신선한 민트, 신선한 고수"
Veggie Pho (Vietnamese Noodle Soup),"계피 스틱, 아니스, 노란 양파, 파, 큰 마늘 정향, 신선한 생강, 당근, 야채 육수, 간장, 쌀국수, 브로콜리, 청경채, 눈 완두콩, 닭고기, 두부, 고춧가루"
Vietnamese Chicken and Cabbage Salad,"닭가슴살, 청양배추, 파, 당근, 라임즙, 액젓, 백설탕, 막걸리식초, 땅콩젓, 민트잎"
Vietnamese Chicken Noodle Soup,"라면, 치킨텐더, 라임즙, 간장, 액젓, 파프리카, 참기름, 생생강, 다진마늘, 치킨스톡, 물, 소금, 콩나물, 청경채, 타이칠리페퍼, 파채, 다진고수 , 후추"
VIETNAMESE GROUND PORK RICE NOODLE BOWL,"저염간장, 굴소스, 황설탕, 물, 옥수수전분, 식물성기름, 간 돼지고기, 레몬그라스, 다진양파, 마늘, 고춧가루, 후추, 오이, 중간당근, 쌀국수, 고수"
Vietnamese Beef Noodle Soup,"물, 소뼈, 생강, 계피, 레몬그라스, 스타아니스, 양파, 카다몸, 천일염, 설탕, 백식초, 샬롯, 청고추, 마늘, 홍고추, 천일염, 설탕, 파, 고수 잎, 라임, 아시안 바질 잎, 차이니즈 셀러리, 콩나물, 쇠고기 필레, 쌀국수, 샬롯"
Vietnamese Spring Rolls with Crispy Tofu,"당근, 신선한 고수, 신선한 민트, 당면, 쌀, 아몬드 버터, 저나트륨 간장, 황설탕, 신선한 라임 주스, 칠리 마늘 소스, 뜨거운 물, 두부, 참기름, 옥수수 전분, 디핑 소스, 저나트륨 간장 소스, 흑설탕"
Vietnamese Lemongrass Pork And Vermicelli Salad,"돼지고기 안심, 마늘, 생강, 다진 샬롯, 파, 레몬그라스, 다진 고수, 액젓, 꿀, 종려당, 간장, 후추, 중간 당근, 무, 백설탕, 물, 쌀식초, 소금, 액젓, 백설탕, 신선한 라임 주스, 따뜻한 물, 쌀 당면, 로메인, 롤, 새우, 타이 바질 잎, 민트, 고수, 구운 땅콩"
Avocado and Vietnamese Chicken Springs Rolls,"뼈없는 닭가슴살, 간장, 황설탕, 참기름, 생라임즙, 카레가루, 생강, 마늘, 당면, 아보카도, 생라임즙, 큰당근, 홍피망, 양상추, 파, 바질, 라이스페이퍼 포장지, 호이신, 땅콩버터, 스위트 타이 칠리 소스, 참기름, 으깬 고춧가루, 물"
Vietnamese Beef And Lettuce Wraps,"우둔살 스테이크, 붉은 고추, 레몬그라스, 마늘 정향, 진간장, 설탕, 파, 볶은 참기름, 쌀식초, 설탕, 레몬그라스, 마늘 정향, 라임, 당근, 콩나물, 붉은 고추, 쌀식초, 기름, 민트, 고수풀, 작은 보석 상추, 라임 웨지"
Vietnamese-Style Bahn Mi Burger,"당근, 무, 설탕, 소금, 쌀 식초, 갈은 돼지고기, 다진 쇠고기, 샬롯, 다진 고수, 생강, 마늘, 고추장, 호이신 소스, 생선 소스, 간장, 레몬 그라스, 롤빵, 드라이 셰리, 호이신, 고수 줄기, 할라피뇨, 칠리 페이스트"
Vietnamese Rice Noodle Salad Bowl,"신선한 라임 주스, 생선 소스, 연갈색 설탕, 물, 칠레, 마늘"
Bún Thịt Nướng (Vietnamese Grilled Pork with Rice Noodles),"간장, 액젓, 꿀, 흑설탕, 다진 샬롯, 레몬그라스, 다진 고수, 다진 생마늘, 파, 갓 간 후추, 돼지 어깨살, 중간 당근, 오이, 막걸리 식초, 그래뉴당, 액젓, 물, 입자가 굵은 설탕, 증류수 백 식초, 마늘 정향, 태국 고추, 카놀라유, scallions, 쌀국수, 상추, 콩나물, 신선한 고수, 볶은 땅콩"
Vietnamese Grilled Chicken Thighs,"닭다리살, 양념장, 간장, 액젓, 흑설탕, 다진 고수, 달콤한 바질, 매운 소스, 라임, 마늘, 식물성 기름, 갓 간 후추"
Vietnamese Style Chicken Noodle Soup,"닭고기, 닭육수, 마늘, 소금, 후추, 스파게티 면, 대파, 간장, 핫소스"
Phở Gà (Vietnamese Chicken Noodle Soup),"치킨, 스톡, 방목 닭, 양파, 마늘, 신선한 생강, 실란트, 스타 아니스, 정향, 계수 나무 껍질, 흰 후추, 노란 바위 설탕, 생선 소스, 소금, 국수, 양파, scallions, 다진 고수, 세라노 칠리 고추, 쌀 식초, 소금"
Vietnamese Shaking Beef (Bo Luc Lac),"등심, 다진마늘, 용설란, 굴소스, 액젓, 참기름, 간장, 쌀식초, 설탕, 코셔소금, 라임, 코셔소금, 간고추, 적양파, 물냉이잎, 토마토, 유채기름"
Soda Chanh (Vietnamese Lime Soda),"극상 설탕, 물, 신선한 민트, 라임 주스, 클럽 소다"
Korean Vietnamese spring rolls,"스프링롤 껍질, 밥, 녹두국수, 두부, 상추, 간장, 식초, 설탕, 적양파, 홍고추, 마늘, 고수"
Pho Bo (Vietnamese Beef Noodle Soup),"양파, 생강, 마늘, 무, 중간당근, 물, 소금, 설탕, 태국식 액젓, 소뼈, 소 정강이, 팔각, 계피 스틱, 콩나물, 쌀국수, 쇠고기 등심, 파, 고수, 양파, 후추, 쇠고기 등심"
Light and fresh Vietnamese rolls 0,"닭고기, 배추, 콩나물, 붉은 고추, 오이, 신선한 민트 잎, 고수 잎, 라임, 생선 소스, 라이스 페이퍼 라운드, 스위트 칠리 소스"
Vietnamese Caramelized Pork,"올리브 오일, 흑설탕, 마늘 소금, 양파 가루, 파프리카, 갓 간 후추, 고수, 돼지 안심, 설탕, 물, 물엿, 간장, 피쉬 소스, 신선한 생강, 레몬그라스, 갈릭 칠리 소스"
Vietnamese-Style Iced Coffee,"가당연유, 원두커피, 우유, 얼음"
Vietnamese Pork Chops,"흑설탕, 간장, 냉수, 액젓, 레몬그라스, 마늘, 샬롯, 갓 간 후추, 뼈가 있는 돼지 갈비, 기름, 끓는 물, 신선한 민트, 신선한 고수, 고추, 황설탕, 간장, 찬물 , 액젓, 레몬그라스, 마늘 정향, 잘게 썬 샬롯, 후추, 돼지 갈비, 지방, 지방, 뼈 있는 돼지 갈비, 기름, 돼지 갈비, 양념장, 끓는 물, 양념장, 끓는 물, 돼지 갈비, 소스, 칠리, 신선한 민트, 신선한 고수, 칠리"
Vietnamese Meatball Pho Noodle Soup (Pho Bo),"소고기 육수, 파, 다진 고수, 생강, 월계수 잎, 피망, 정향, 스타아니스, 검은 후추, 고수 씨, 사케, 다진 돼지고기, 호이신 소스, 빵가루, 액젓, 폰즈 소스, 꿀, 고운 천일염 , 검은 후추, 파, 다진 고수, 마늘, 식물성 기름, 쇠고기 육수, 미트볼, 말린 쌀국수, 고수 잎, 파, 세라노 고추, 호이신 소스, 콩나물"
Nước Mấm Chấm – Vietnamese Fish Sauce Dipping Sauce,"따뜻한 물, 생선 소스, 마늘, 설탕, 백식초, 레몬, 붉은 고추"
Vietnamese Pork Bun,"백설탕, 액젓, 마늘, 간장, 식물성 기름, 삼발올레크, 후추, 돼지등심, 당면, 당근, 오이 슬라이스, 파, 고수, 민트잎, 느억참, 물, 설탕, 라임, 삼발올레"
Vietnamese Pickles with Carrot and Daikon Radish (Do Chua),"당근, 무, 물, 설탕, 소금, 쌀식초"
Easy Pho Bo (Vietnamese Beef Noodle Soup),"쇠고기 육수, 라임, 베트남 피시 소스, 스타아니스 씨앗, 밥 스틱, 콩나물, 파, 고수, 쇠고기 등심, 바질 잎, 할라피뇨, 세라노 고추, 피쉬 소스, 스리라차 칠리 소스"
Vietnamese Iced Coffee | Ca Phe Sua Da,"각얼음, 가당 연유, 원두 커피, 분쇄 커피"
Vietnamese Flank Steak Salad,"신선한 생강, 간장, 아시아 피시 소스, 구운 참기름, 마늘 정향, 파, 샬롯, 태국 칠레, 라임, 측면 스테이크, 갓 갈은 후추, 소금, 비브 양상추, 로메인 양상추, 당근, 오이, 적양파, 신선한 바질, 신선한 민트, 신선한 고수, 셀로판 국수"
Che Chuoi - Vietnamese Banana Tapioca Pudding,"타피오카 펄, 코코넛 밀크, 물, 설탕, 바나나, 참깨, 망고"
Crispy Vietnamese Pancakes (Banh Xeo),"쌀가루, 강황, 천일염, 코코넛밀크, 물, 파, 식물성 기름, 닭요리, 작은당근, 콩, 고수, 민트잎, 상추잎, 드레싱, 액젓, 백식초, 설탕, 라임쥬스, 붉은고추 , 마늘 정향"
Vietnamese Tofu Spring Rolls,"단단한 두부, 배추, 잘게 썬 당근, 다진 신선한 고수, 다진 신선한 민트, 당면, 라이스페이퍼, 소스, 피넛버터, 간장, 스리라차, 호이신 소스, 라임, 뜨거운 물"
GOI CUON/ VIETNAMESE SPRING ROLL ( 12 spring rolls),"새우, 쌀 당면, 라이스 페이퍼, 콩나물, 강판 당근, 쌀 식초, 민트 잎, 부추, 고수 잎, 생 라임 주스, 액젓, 물, 쌀 식초, 설탕, 마늘, 새 칠레, 볶은 땅콩, 당근"
Vietnamese Shredded Chicken Salad,"치킨, 배추, 파, 성냥개비 당근, 빨간 피망, 다진 신선한 민트, 다진 신선한 고수, 땅콩, 신선한 라임 주스, Sriracha 소스, 마늘, 설탕, 생선 소스, 식물성 기름"
Vietnamese Salad (Side Dish),"청경채, 배추, 물냉이, 큰 당근, 잎, 잎, 잎, 오이, 캐슈넛, 갓 짜낸 라임 주스, 막걸리 식초, 간장, 액젓, 참기름, 꿀, 다진 마늘, 간 생강, 다진 샬롯"
"Garlic Noodle Recipe, Vietnamese Inspired","마늘, 파, 스파게티, 소금, 엑스트라 버진 올리브 오일, 간장, 파르미지아노 레지아노"
