CKG_NM,CKG_MTRL_CN
Spicy Vietnamese Beef Noodle Soup (Bún bò Huế),"족발, 생크, 샬롯, 레몬그라스, 오일, 칠레 플레이크, 레몬그라스, 롤빵, 물, 생선 소스, 소금, 당면, 고수, 파, 베트남 고수, 바나나 꽃, 라임, 레몬그라스"
Vietnamese Crispy Fish with Cilantro,"흰살 생선, 소금, 땅콩 기름, 양파, 생강, 설탕, 할라피뇨, 생선 소스, 물, 다진 고수, 라임"
Bo Kho (Spicy Vietnamese Beef Stew),"쇠고기 양지머리, 레몬그라스, 피시 소스, 마드라스 카레 가루, 신선한 생강, 사과 소스, 월계수 잎, 버터 기름, 노란 양파, 깍뚝썰기한 토마토, 스타아니스, 물, 당근, 코셔 소금, 다진 신선한 고수"
Vietnamese Summer Rolls with Spicy Peanut Dipping Sauce,"아보카도, 타이 바질, 고수, 당근, 보스턴 양상추, 라임, 페르시아 오이, 셀로판 국수, 땅콩 버터, 미림, 간장, 스리라차, 라이스 페이퍼 포장지"
Vietnamese Chicken Sandwich,"양배추, 당근, 닭고기, 무"
Thịt Kho Recipe - (Vietnamese Braised Pork with Eggs),"컨트리 스타일 돼지 갈비, 삶은 계란, 소다수, 간장, 액젓, 소금, 설탕"
Quick Vietnamese Iced Coffee,"가당 연유, 에스프레소, 얼음"
Vietnamese Chicken Pho,"양파, 생강, 계피 스틱, 팔각, 치킨, 천일염, 액젓, 쌀국수, 양파, 파, 콩, 타이 바질 잎, 라임 웨지, 붉은 고추"
Vietnamese Pomelo Salad,"소금, 큰 새우, 뼈와 껍질을 제거한 닭가슴살, 포멜로, 당근, 민트 잎, 다진 고수, 구운 땅콩, 샬롯, 피시 소스, 신선한 라임 주스, 물, 설탕, 마늘, 태국 칠레"
Vietnamese Duck Pho,"오리, 양파, 생강, 카다멈 꼬투리, 스타아니스 꼬투리, 고수 씨, 정향, 회향 씨, 설탕, 소금, 액젓, 오리 가슴살, 참기름, 국수, 양파, 생강, 콩나물, 고수, 고추"
vegetarian pho – Vietnamese noodle soup,"야채육수, 노란양파, 야생버섯, 마늘, 간장, 생생강, 황설탕, 막걸리식초, 간장후추, 생바질, 고수줄기, 당면, 당근채, 적삼채, 팽이버섯, 대파, 다진 고수, 신선한 바질 잎, 라임"
Ca Kho To Vietnamese Braised Fish in Clay Pot,"스테이크, 액젓, 흑설탕, 샬롯, 다진 마늘, 후추, 파, 캐러멜 소스, 코코넛 주스, 타이 칠리, 식용유"
Vietnamese Pork Noodle Bowl,"흑설탕, 액젓, 간장, 참기름, 마늘, 레몬그라스, 생강, 칠리소스, 파, 돼지갈비구이, 당면, 로메인상추, 영국오이, 성냥개비 당근, 콩나물, 민트잎, 다진고수, 구운 것 땅콩, 디핑 소스, 물, 액젓, 생 라임 주스, 막걸리 식초, 설탕, 타이 칠리, 마늘, 성냥개비 당근"
Vietnamese Spring Rolls with Peanut Sauce,"땅콩 소스, 타마리, 구운 참기름, 물, 땅콩 버터, 매운 갈색 겨자, 막걸리 식초, 신선한 생강, 꿀, 고춧가루, 스프링롤, 쌀국수, 새우, 간 당근, 녹두 콩나물, 오이, 양상추 잎, 양상추 잎, 민트 잎, 실란트로, 스프링롤 포장지"
Vietnamese Shaking Beef,"소고기, 다진마늘, 황설탕, 간장, 굴소스, 액젓, 라임즙, 옥수수전분, 갓 간 후추, 양파"
Vietnamese Clay Pot Fish,"설탕, 카놀라유, 마늘 정향, 샬롯, 껍질을 벗긴 신선한 생강, 태국 고추, 아시아 피시 소스, 간장, 흰살 생선 필레, 은대구, 갓 갈은 후추"
Vietnamese Cucumber Salad with Cilantro & Roasted Peanuts,"오이, 땅콩, 참깨, 파, 타이 레드 칠리, 마늘 정향, 쌀 식초, 아가베 시럽, 다진 신선한 민트, 다진 신선한 고수"
Vietnamese Beef and Green Bean Stir-fry,"스테이크, 간장, 막걸리, 옥수수 전분, 땅콩 기름, 마늘, 강낭콩, 물, 액젓, 간 후추"
Vietnamese Fresh Spring Roll-Gỏi Cuốn,"라이스 페이퍼 라운드, 양상추 잎, 버미첼리 쌀국수, 중간 새우, 순살 돼지고기, 콩나물, 오이, 당근, 고수, 민트, 타이 바질, 물, 잘게 썬 양파, 호이신 소스, 매실 소스, 황설탕, 크리미 피넛버터 , 라임 쥬스"
Vegetarian Phở (Vietnamese Noodle Soup),"양파, 생생강, 계피스틱, 팔각, 정향, 고수씨, 무염야채육수, 타마리소스, 중간당근, 쌀국수, 두부, 두부, 두부껍질, 두부껍질, 세이탄, 버섯, 야채, 배추, 배추, 브로콜리, 양파, 파, 고추, 라임, 콩나물, 허브, 호이신 소스, 스리라차"
Vietnamese Spring Rolls – Chả Giò,"녹두국수, 건표고버섯, 다진 돼지고기, 쪽파, 마늘, 큰당근, 액젓, 설탕, 소금, 후추, 라이스페이퍼, 식물성기름, 생고수, 민트, 상추"
Authentic Vietnamese Caramelized Pork Belly (Thit Kho Tau),"삼겹살, 마늘 정향, 샬롯, 소금, 후추, 알갱이 설탕, 물, 식용유, 생선 소스, 코코넛 주스, 계란"
Vietnamese Shrimp Spring Rolls,"새우, 당면, 라이스페이퍼, 상추잎, 생민트잎, 튀긴 두부, 콩나물, 오이, 당근 채썰기, 돼지고기 안심"
Vietnamese Pork and Vermicelli Bowl,"마늘, 샬롯, 파, 레몬그라스, 실란트로, 황설탕, 꿀, 액젓, 간장, 돼지고기 안심, 당근, 오이, 쌀식초, 설탕, 소금, 라임, 액젓, 설탕, 따뜻한 물, 고추장, 식물성 기름 , 파, 당면, 보스턴 양상추, 고수, 콩나물, 볶은 땅콩"
Banh Xeo (Vietnamese Pancake),"쌀가루, 옥수수 전분, 강황 가루, 소금, 무가당 코코넛 밀크, 물, 껍질을 벗긴 새우, 녹두 콩나물, 양파, 파, 액젓, 종려당, 냉수, 신선한 라임 주스, 채 썬 당근, 다진 마늘, 땅콩 기름, 보스턴 양상추 잎, 신선한 민트, 신선한 고수, 칠레 소스"
Vietnamese Caramelized Pork (Thit kho to),"설탕, 물, 액젓, 삼겹살, 소금, 쪽파, 파, 쌀"
Authentic Pho Ga (Vietnamese Chicken Noodle Soup),"닭고기, 생강, 샬롯, 계수나무 껍질, 계수나무 껍질, 계피 스틱, 스타아니스, 고수 씨, 블랙 카다멈 꼬투리, 쌀 식초, 소금, 액젓, 물, 쌀국수, 파, 양파, 간 후추, 칠리 페퍼, 라임 웨지"
"Vietnamese Fried Egg Banh Mi Recipe (Banh Mi Trung Op La)- ""The Bang Me""","프렌치 바게트, 냉햄, 속살, 계란, 당근 피클, 신선한 고수, 간장, 파테, 마요네즈, 고추, 오이"
Vietnamese Coffee Popsicles,"커피, 가당 연유"
Vietnamese Beef Stew,"쇠고기 정강이, 샬롯, 청고추, 토마토, 버터넛 스쿼시, 당근, 토마토 페이스트, 계피 스틱, 스타아니스, 쇠고기 육수, 식용유, 중국 오향분말, 간 후추, 레몬그라스, 큰 마늘 정향, 코코넛 아미노, 생꿀"
Vietnamese Beef Salad,"쇠고기, 라임, 소금, 후추, 양상추, 당근, 적양파, 큰 토마토, 오이, 고수, 민트, 바질, 간장, 신선한 라임 주스, 액젓, 막걸리 식초, 황설탕"
Vietnamese Fried Banana,"바나나, 다목적 밀가루, 물, 설탕, 럼주, 기름"
Vietnamese Vermicelli Salad,"당면, 파니르, 당근, 오이, 칠리, 피망, 라임 주스, 소금, 설탕, 간장, 정향, 소금, 홍고추, 라임 주스"
Vietnamese Iced Coffee Recipe (Without the Vietnamese Coffee Filter),"추출한 에스프레소, 가당 연유, 각얼음"
Vietnamese Coffee Popsicles (Vegan),"끓는 물, 커피, 연유"
Vietnamese Soft Shell Crab,"꽃게살, 밀가루, 옥수수전분, 베이킹파우더, 강황가루, 코셔소금, 고춧가루, 중간계란, 막걸리식초, 밀맥주, 카놀라유, 소스, 상추, 고수, 민트, 콩나물"
Vietnamese Bun Cha with Crispy Tofu,"아보카도 오일, 단단한 두부, 호이신 소스, 스위트 칠리 소스, 스리라차, 양파, 소금, 샐러드, 현미 국수, 시금치, 당근, 오이, 파, 민트 잎, 타이 바질 잎, 드레싱, 꿀, 간장, 쌀식초 , 라임 주스, 참기름, 레몬그라스, 마늘 정향, 생강, 칠리 플레이크"
Vietnamese Avocado Shake,"아보카도, 각얼음, 가당 연유, 우유"
Vietnamese Vegan Banh Mi Spring Rolls,"스프링 롤 포장지, 쌀국수, 오이, 절인 야채, 신선한 고수, 타이 스위트 칠리 소스, 호이신 소스, 쌀 식초, 간장"
How To Make Vietnamese Spring Rolls,"라이스페이퍼, 익힌 새우, 양상추, 버미첼리 쌀국수, 아보카도, 적양배추, 채 썬 당근, 고수, 호이신 소스, 간장, 쌀식초, 참기름, 땅콩"
Vietnamese Sandwich Banh Mi,"프렌치 바게트, 당근, 무, 화이트 와인 식초, 마요네즈, 타이 레드 커리 페이스트, 파테, 오이, 신선한 고수, 편육, 칠리 페퍼"
Vietnamese Beef Stew – Bò Kho,"순살 목살구이, 식용유, 노란양파, 마늘, 으깬토마토, 소금, 스타아니스, 카레가루, 물, 당근, 타이바질, 레몬그라스, 액젓, 중국5호분말, 다진생강, 흑설탕, 월계수잎"
Vietnamese Fried Chicken,"따뜻한 물, 마늘, 입자가 굵은 설탕, 코셔 소금, 생선 소스, 드럼통, 쌀가루, 식물성 기름, 마늘, 흑설탕, 물, 생선 소스, 매운 소스, 간 생강, 라임 주스, 소금, 고수, 라임 웨지"
Vietnamese One Pot Beef and Pumpkin Stew,"뼈없는 쇠고기 목살, 다용도 밀가루, 레몬그라스 줄기, 마늘 정향, 간장, 흑설탕, 다진 생강, 올리브 오일, 양파, 할라피뇨 고추, 월계수 잎, 신선한 토마토, 토마토 페이스트, 버터넛 스쿼시, 당근, 쇠고기 육수, 올리브 오일, 신선한 바질 잎, 소금, 후추"
Gơi Chay (Vietnamese Vegetarian Salad),"아주 단단한 두부, 식물성 기름, 신선한 레몬 주스, 간장, 마늘, 세라노 고추, 녹색 양배추, 당근, 허브, 쌀국수, 땅콩"
Sous Vide Vietnamese Short Ribs,"순살 갈비, 생강, 마늘, 샬롯, 파프리카"
Quick Vegan Vietnamese Salad,"샬롯, 작은 당근, 고수, 콩나물, 코코넛 오일, 참기름, 갈색 버섯, 느타리버섯, 타마리, 당면, 튀긴 양파, 타마리, 현미식초, 참기름, 고추, 생강, 구운 참깨, 소금"
Quick Vietnamese Chicken Pho,"건쌀국수, 베이스, 고수씨, 정향, 팔각, 닭육수, 닭가슴살, 양파, 생강, 설탕, 액젓, 콩나물, 고수, 적양파, 라임, 칠리소스, 호이신소스, 칠리페퍼"
Crock Pot Pho (Vietnamese Beef Noodle Soup),"사골, 양파, 생강뿌리, 정향, 스타아니스, 시나몬 스틱, 카다멈 꼬투리, 고수풀, 회향, 소금, 설탕, 액젓, 물, 쌀국수, 소고기 스테이크, 파, 콩나물, 라임, 붉은 고추, 신선한 민트"
Diane's Vietnamese Fried Chicken,"닭다리살, 식용유, 액젓, 황설탕, 쌀식초, 마늘, 통후추, 중력분, 베이킹파우더, 찬물, 식용유"
Vietnamese Grilled Pork with Noodles (Bún Thịt Nướng),"돼지고기 어깨살, 생마늘, 레몬그라스, 파, 고수, 설탕, 액젓, 진한 간장, 진한 참기름, 간 후추, 스파게티, 콩나물, 신선한 고수, 파, 오이, 신선한 민트 잎, 당근 절임 , 볶은 땅콩, 마늘, 타이 버드 칠레, 백식초, 액젓, 그라뉴당, 물, 대당근, 식초, 설탕, 식염, 물"
Vietnamese-Inspired Rice Crisps,"당근, 무, 땅콩, 다진 고수, 샬롯, 민트, 할라피뇨, 라임 주스, 쌀 식초, 코셔 소금, 설탕, 매우 단단한 두부, 간장, 식물성 기름, 참기름, 레몬그라스, 마늘, 라이스 페이퍼 포장지, 식물성 기름, 땅콩, 민트 잎, 호이신 소스"
Vietnamese Pork Bahn Mi Sandwiches,"돼지고기, 당근, 무, 오이, 할라피뇨 고추, 쌀식초, 물, 설탕, 마요네즈, 스리라차, 식빵, 고수"
Vietnamese Grilled Shrimp Spring Rolls,"새우, 올리브 오일, 라임, 라임 제스트, 코셔 소금, 갓 간 후추, 쌀 종이 포장지, 쌀국수, 빨간 피망, 당근, 오이, 양상추, 고수 잎, 타이 바질 잎, 민트 잎, 디핑 소스, 부드러운 땅콩 버터, 해선장, 마늘, 물, 설탕, 다진고추, 막걸리식초, 액젓, 라임즙, 다진마늘, 간당근, 설탕, 고춧가루"
Instant Pot Vietnamese Yogurt,"저온 살균 우유, 가당 연유, 플레인 요거트"
Vegan Vietnamese Noodle Salad,"두부, 간장, 참기름, 당근, 오이, 로메인, 바질, 고수, 쌀국수, 콩나물, 아보카도, 땅콩버터, 무가당 아몬드밀크, 라임, 간장, 참기름, 스리라차, 생강"
Pho Ga | Vietnamese Chicken Noodle Soup,"홈메이드 치킨 육수, 신선한 생강, 정향, 고수 씨, 스타아니스, 올스파이스 베리, 말린 쌀국수, 파, 신선한 고수, 흰 양파, 닭고기, 신선한 바질, 콩나물, 할라피뇨, 라임"
Vietnamese Pho Ga,"닭고기 육수, 냉수, 반포 쌀국수, 양파, 마늘 정향, 신선한 생강 뿌리, 신선한 고수, 레몬, 중국 향신료, 뼈와 껍질을 제거한 닭가슴살, 쌀국수, 파, 타이 바질, 녹두 콩나물, 웨지 라임, 할라피뇨 , 땅콩, 호이신 소스, 스리라차"
Vietnamese-Style Meatballs with Chili Sauce,"큰 계란, 생선 소스, 마늘, 신선한 생강, 으깬 고추 조각, 파, 라임 제스트, 고수 잎, 다진 신선한 민트, 살코기 갈은 쇠고기, 다진 돼지 고기, 일반 빵가루, 무염 땅콩, 아시안 칠리 소스, 간장, 생선 소스 , 라임 주스, 설탕"
Vietnamese Salmon Rolls,"물, 쌀 식초, 설탕, 생선 소스, 마늘, 칠리 마늘 소스, 연어 필레, 로메인 상추, 파, 튀긴 샬롯, 무염 땅콩, 스프링 롤, 코셔 소금, 간 후추, 엑스트라 버진 올리브 오일"
Vietnamese Fried Spring Rolls,"라이스페이퍼, 설탕, 식물성기름, 상추잎, 민트잎, 당면, 새우, 다진돼지고기, 쪽파, 계란, 액젓, 설탕, 백후추, 천일염, 액젓, 백식초, 설탕, 라임즙, 빨간 고추, 마늘 정향"
Vietnamese Curry Chicken,"식물성 기름, 순살, 껍질을 벗긴 닭다리살, 노란 양파, 마늘, 닭 육수, 코코넛 밀크, 레몬그라스, 월계수 잎, 카레 가루, 으깬 고추, 설탕, 소금, 후추 가루, 고구마, 당근, 장립종 백미 , 신선한 고수"
Ga Roti – Vietnamese Roasted Chicken,"콘월 암탉, 간장, 오향분, 꿀, 후추, 흰 후추, 참기름, 다진 마늘, 파, 식용유, 쌀, 토마토, 오이, 주스, 라임 웨지, 칠리 마늘 소스, 붉은 고추, 간장"
Vegan Vietnamese Noodle Soup (Pho),"정향, 스타아니스, 시나몬 스틱, 카다멈 꼬투리, 양파, 생강, 레몬그라스, 야채 육수, 라임, 신선한 고수, 당근, 쌀국수, 팽이버섯, 콩나물"
Fresh Vietnamese-Style Spring Rolls with Shrimp,"설탕, 물, 액젓, 라임, 붉은 고추, 참깨, 구운 것, 파, 로메인 상추, 민트, 고수, 콩나물, 땅콩, 오이, 당근, 쌀 스틱 국수, 요리 새우, 신선한 쪽파, 라이스 페이퍼"
Vietnamese Chicken Wings,"닭 날개, 마늘, 생선 소스, 설탕, 간 후추, 땅콩, 다진 고수"
Vietnamese Spring Rolls {a How-To},"순살 돼지갈비, 춘권, 콩나물, 빨간 피망, 영국 오이, 허브, 상추 잎, 따뜻한 물, 라임, 황설탕, 액젓, 마늘, 마늘 페이스트, 호이신 소스, 매끄러운 땅콩 버터, 쌀식초, 마늘 , 마늘 파스타"
Vietnamese Summer Roll Salad,"콩나물 국수, 코코넛 오일, 샬롯, 새우 껍질, 생선 소스, 쌀 식초, 생강, 붉은 고추, 꿀, 오이, 당근, 콩나물, 신선한 바질, 신선한 고수, 신선한 민트, 구운 땅콩, 웨지 라임"
Vietnamese Style Caramel Chicken,"순살, 껍질제거, 닭다리살, 닭육수, 흑설탕, 물, 액젓, 생생강, 마늘, 고춧가루"
Vietnamese Braised Pork Belly with Eggs (Thit Kho),"삼겹살, 계란, 샬롯, 마늘, 황설탕, 액젓, 간장, 코코넛 워터"
Bánh Mì – Vietnamese Sandwich,"삼겹살, 간장, 고추, 마늘, 참기름, 마기시즈닝소스, 해바라기유, 바게트, 마요네즈, 파테, 오이, 당근, 무, 고수, 소금, 설탕, 쌀식초"
Vietnamese-Style Steak,"마기 시즈닝 소스, 카놀라유, 간 후추, 마늘 정향, 등심 스테이크, 밥"
Classic Vietnamese Beef Pho,"스테이크, 쌀 스틱 누들, 콩, 양파, 파, 타이 바질 잎, 붉은 고추, 라임 웨지, 액젓, 육수, 큰 양파, 생강, 사골, 팔각, 정향, 계피 스틱, 설탕, 액젓, 천일염"
Vietnamese Fried Rice,"올리브유, 볶은 참기름, 단 양파, 당근, 마늘 정향, 계란, 옥수수, 완두콩, 남은 고기, 흰 쌀밥, 코코넛 아미노, 소금, 갓 간 후추"
Vietnamese Grilled Pork,"돼지고기 목살, 라임 웨지, 고수, 파, 레몬그라스, 흰 양파, 마늘, 타마리 소스, 생선 소스, 오렌지 주스, 올리브 오일, 꿀, 간 후추, 굵은 소금, 코코넛 설탕, 생선 소스, 따뜻한 물, 마늘, 잘게 썬 것 당근, 세라노 칠레"
Vietnamese Grilled Pork Balls,"재스민 라이스, 다진 돼지고기, 다진마늘, 액젓, 설탕, 소금, 후추"
Thit Heo Kho Trung (Vietnamese Braised Pork With Hard-Boiled Eggs),"돼지고기 꽁초, 삶은 계란, 마늘, 양파, 코코넛 주스, 느억맘, 소금, 간 후추"
Instant Pot Vietnamese Salmon,"올리브 오일, 연갈색 설탕, 아시아 피쉬 소스, 간장, 신선한 생강, 라임, 라임, 갓 갈은 후추, 껍질을 벗긴 연어 필레, 파, 고수 잎, 라임 조각"
Vietnamese Braised Fish,"연어 살코기, 백설탕, 물, 코코넛 워터, 액젓, 단 간장, 중간 양파, 마늘, 생강, 파, 붉은 고추, 간 흰 후추"
Dipping Sauces for Vietnamese Spring Rolls,"액젓, 라임, 설탕, 다진생강, 태국고추, 물, 소금, 후추, 해선장소스, 육수, 피넛버터, 다진마늘, 식물성기름, 설탕, 땅콩"
Vietnamese Xiu Mai Bun,"다진 돼지고기, 간 후추, 설탕, 간장, 마늘, 소금, 설탕, 물, 물, 물, 베트남 피쉬 소스, 설탕, 레몬그라스, 청고추, 당면, 오이, 당근, 민트, 땅콩, 빙산 양상추, 파"
Pho Ga Vietnamese Soup,"뼈 국물, 신선한 생강 뿌리, 마늘, 카다몸 간 것, 닭가슴살, 코코넛 아미노, 시나몬, 팔각, 중간 호박, 파, 소금, 후추, 콩나물, 바질 잎, 고수 잎, 라임 웨지, 핫 칠리 페퍼"
Vietnamese Chicken Pho - Pho Ga,"닭고기, 갈색 양파, 생강, 고수 뿌리, 뜨거운 물, 소금, 고수 씨앗, 회향 씨앗, 스타아니스, 계수나무 껍질, 검은 통후추, 감초 뿌리, 블랙 카다멈, 암설탕, 정향, 액젓, 쌀국수, 방목 닭 , 대파, 생강, 소금, 설탕, 액젓, 대파, 바질, 대파, 고수, 간고추, 콩나물, 라임, 고추, 해선장"
"Gỏi Cuốn, Vietnamese Summer Rolls","따뜻한 물, 설탕, 생선 소스, 라임 주스, 칠리, 마늘 정향, 당면, 샐러드 잎, 단 옥수수, 가지, 아보카도, 토마토, 피망, 오이, 당근, 바질 잎, 레몬 그라스, 허브, 민트, 고수풀, 망고, 튀긴 두부, 계란, 콩나물"
Vietnamese Steaks,"액젓, 라임, 황설탕, 꿀, 마늘, 신선한 생강, 할라피뇨 고추, 옆구리 스테이크, 오이, 무, 파, 당근, 쌀국수, 신선한 고수"
Fresh Vietnamese Spring Rolls with Peanut Sauce,"카놀라유, 양파, 돼지고기 안심, 고추가루, 설탕, 소금, 백식초, 새우젓, 잉글리시오이, 당근, 상추잎, 민트, 바질, 라이스페이퍼라운드, 당면, 해선장소스, 피넛버터, 물 , 라임 주스, 간장"
Vietnamese Steak Sandwiches,"신선한 라임 주스, 간장, 파, 신선한 생강, 고춧가루, 옆구리 스테이크, 마늘 정향, 설탕, 고춧가루, 쌀식초, 당근, 파, 고수잎, 히로롤"
Vietnamese Meatball Bowls,"미트볼, 다진 돼지고기, 레몬그라스, 마늘 정향, 스리라차, 액체 아미노, 옥수수 전분, 쌀, 콜리플라워 쌀, 강황, 바다 소금, 후추, 파, 야채 국물, 신선한 민트 잎, 고수 잎, 피망, 완두콩 꼬투리, 고추, 라임, 절인 야채"
Vietnamese Summer Rolls,"두부, 당면, 적양배추, 고추, 오이, 고수, 민트, 라이스페이퍼, 참기름, 간장, 파프리카, 생강가루, 마늘가루, 피넛버터, 라임, 황설탕, 간장, 된장"
Easy Vietnamese Pork Bun Bowls,"돼지고기 목살, 작은 노란 양파, 설탕, 액젓, 간장, 중성 식용유, 라임, 후추, 물, 설탕, 액젓, 라임, 으깬 고추, 양상추, 당면, 오이, 당근, 신선한 민트, 신선한 고수, 신선한 바질, 돼지고기, 다진 땅콩"
Vietnamese Iced Coffee,"추출한 에스프레소, 가당 연유, 각얼음"
Cheater Vietnamese Pho (Pho Bo),"골수뼈, 소고기 육수, 물, 중간 양파, 마늘 정향, 생강, 해선장 소스, 스타아니스, 정향 전체, 계피 스틱, 소금, 쌀국수, 쇠고기 등심, 콩나물, 고수, 라임, 할라피뇨"
Vietnamese Grilled Pork Skewers,"돼지고기 목살, 쪽파, 마늘, 레몬그라스, 캐러멜소스, 참기름, 액젓, 굴소스, 그래뉴당, 기름, 후추가루, 흰깨, 대나무"
Vietnamese Style Chicken Pho Soup,"닭육수, 생강, 시나몬, 스타아니스, 액젓, 쌀국수, 치킨텐더, 콩나물, 파, 신선한 바질잎, 라임, 타이칠리, 스리라차 핫소스"
Caramel Shrimp (Vietnamese Tom Rim),"새우, 샬롯, 파, 액젓, 후추, 수프, 설탕, 새우, 껍질, 새우 육수, 기름, 마늘, 샬롯, 액젓, 캐러멜 소스, 코셔 소금, 설탕, 후추, 파, 설탕, 물"
Vietnamese-Style Chicken & Noodle Salad,"라임즙, 쌀식초, 꿀, 레몬그라스, 액젓, 껍질을 벗긴 신선한 생강, 마늘, 올리브유, 순살, 껍질 없는 닭가슴살, 쌀국수, 올리브유, 배추, 빨간 피망, 채 썬 당근, 잉글리시 오이, 파, 다진 것 신선한 고수, 신선한 민트 잎"
Vietnamese Burgers,"백식초, 물, 설탕, 코셔 소금, 신선한 생강, 으깬 고추, 무, 당근, 다진 고수, 마요네즈, Sriracha, 갈은 쇠고기, 마늘, 레몬 그라스, 소금, 검은 후추, Ciabatta rolls"
Vietnamese Caramel Shrimp,"카놀라유, 마늘, 생강, 홍고추, 파, 새우, 캐러멜 소스, 액젓, 라임즙, 다진 고수"
Vietnamese Egg Rolls - Cha Gio,"소금, 후추, 액젓, 계란, 목이버섯, 뜨거운 물, 노란 양파, 파, 당근, 새우, 다진 돼지고기, 페이스트리, 계란 흰자, 식물성 기름, 생라임즙, 쌀식초, 설탕, 미지근한 물, 생선 소스, 세라노 칠리, 마늘"
Lemongrass Vietnamese Meatballs,"레몬 그라스 줄기, 실란트로, 작은 양파, 생강, 마늘 정향, 다진 돼지고기, 흑설탕, 생선 소스, 간장, 스리라차, 오일"
Bún Bò Xả Ớt - Vietnamese Lemongrass Beef,"소고기, 설탕, 생강, 마늘, 레몬그라스, 타이 칠리, 피시 소스, 굴 소스, 오일, 베르미첼리, 잉글리시 오이, 양상추, 라임, 고수, 민트, 튀긴 샬롯"
Vietnamese Grilled Pork Chops,"뼈가 있는 돼지 갈비, 오이, 중간 당근, 재스민 쌀, 생선 소스, 간장, 마늘 칠리 페이스트, 황설탕, 후추, 신선한 라임 주스, 샬롯, 마늘, 갈릭 칠리 소스, 설탕, 알갱이로 만든 마늘, 생선 소스, 신선한 라임 주스, 뜨거운 물"
Vietnamese-Style Pork Sandwich,"구운 돼지고기, 간장, 큰 마늘 정향, 생선 소스, 바게트, 마요네즈, 오이, 당근, 적양파, 칠리, 다진 신선한 고수"
